,sampleId,sampleGroup,SVA,Alu,HERV,PolyA,total,L1
0,06ebee53-f158-49d7-baf2-6910780f023b,ACC,1.0,5.0,1.0,1.0,8,0.0
1,0820ab39-407d-4326-8482-9c0c0fcc66f6,ACC,1.0,7.0,0.0,1.0,11,2.0
2,084af283-eb9b-4327-add2-04227e78aff9,ACC,5.0,24.0,1.0,0.0,30,0.0
3,0cbbae7f-c50f-43ed-8b3e-da334238a5bb,ACC,2.0,18.0,2.0,0.0,22,0.0
4,0ecde3de-4840-4090-9041-201e9d8bd162,ACC,0.0,2.0,0.0,0.0,2,0.0
5,11e51bf3-39c0-459c-978c-d8c2e8a7e524,ACC,0.0,18.0,0.0,1.0,20,1.0
6,122f132f-a667-400c-ad54-025b84f753ab,ACC,2.0,8.0,0.0,1.0,11,0.0
7,129991af-5ccc-4aea-be5c-fd2160a609d5,ACC,0.0,14.0,1.0,0.0,16,1.0
8,166877e2-806e-4d9f-abcc-5281d9e4e3af,ACC,2.0,19.0,2.0,0.0,23,0.0
9,18acca5d-0f72-48bc-8ad0-4f3df5cc3c67,ACC,2.0,20.0,2.0,0.0,26,2.0
10,19d9b47d-3ec4-4871-a410-c958f3f9723a,ACC,0.0,23.0,0.0,0.0,23,0.0
11,1d3534e1-ce58-41b7-8dcf-05aeee0d95ff,ACC,0.0,8.0,0.0,1.0,10,1.0
12,20d99773-edcf-4e86-bd43-16fc034c34c0,ACC,1.0,28.0,4.0,0.0,35,2.0
13,246cc6ff-6a06-431f-8078-be40fe5dc99c,ACC,2.0,5.0,1.0,0.0,8,0.0
14,26a58a4b-2a8a-47e7-abd2-7f9750fed652,ACC,0.0,10.0,0.0,0.0,10,0.0
15,2743c5c4-929d-44d6-beb3-e1affdd87016,ACC,0.0,9.0,1.0,1.0,11,0.0
16,2adc136b-0500-4abe-b5e5-611d2bb28e38,ACC,1.0,33.0,3.0,1.0,38,0.0
17,2adc7705-30d5-4871-a632-80d679670a1a,ACC,1.0,10.0,1.0,1.0,14,1.0
18,2e4f0b69-8f97-43b3-8be1-576816aa75c9,ACC,1.0,9.0,1.0,1.0,12,0.0
19,3322d289-c7d0-41d8-9e70-e1b4d9095ef2,ACC,1.0,30.0,3.0,0.0,35,1.0
20,3611ab81-a2a0-495a-afd9-07f1c11c4c17,ACC,2.0,14.0,2.0,0.0,18,0.0
21,3a18537c-9099-418c-9342-6e6e6e30f76f,ACC,3.0,20.0,1.0,1.0,25,0.0
22,4a391359-43c8-48d4-8854-3e292d24afd3,ACC,0.0,2.0,1.0,1.0,4,0.0
23,4ecfcd84-2911-4450-ad27-31e3c180eb14,ACC,2.0,22.0,2.0,0.0,26,0.0
